source_project,source_dataset,source_label,source_path,reason,mapped_unified_label,mapping_decision,note
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_747_1408_427.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_691_1311_686.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_34_47_108.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_361_1568_456.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_162_252_773.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_267_412_275.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_395_795_43.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_985_1856_397.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_458_891_709.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_953_1806_326.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_466_903_893.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_82_125_365.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_478_916_806.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_76_1039_269.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_663_1254_732.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_206_312_760.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_167_258_711.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_54_83_405.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_373_761_708.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_228_348_535.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Basal Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_547_1033_911.png,missing_image_path,basal_cell_carcinoma,include,Path from DermAssist manifest does not exist.
dermassist,PAD_UFES_20,Squamous Cell Carcinoma,/backup/TeleDerm/Derma/PAD_UFES_20/PAT_56_86_479.png,missing_image_path,squamous_cell_carcinoma,include,Path from DermAssist manifest does not exist.
